data_id,num_item_id,age,comprehension,production,language,form,birth_order,ethnicity,sex,zygosity,norming,mom_ed,longitudinal,source_name,license,item_id,definition,type,category,lexical_category,lexical_class,word,complexity_category,produces
129254,165,18,32,32,English (American),WS,Fourth,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129255,165,24,126,126,English (American),WS,Second,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129256,165,28,199,199,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129257,165,24,330,330,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129258,165,26,181,181,English (American),WS,Second,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129259,165,16,16,16,English (American),WS,Third,Hispanic,Male,NA,TRUE,Primary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129260,165,17,166,166,English (American),WS,Sixth,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129261,165,30,643,643,English (American),WS,Third,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129262,165,19,143,143,English (American),WS,Second,Black,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129263,165,28,644,644,English (American),WS,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129264,165,26,379,379,English (American),WS,Second,Other,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129265,165,29,462,462,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129266,165,22,208,208,English (American),WS,Third,Black,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129267,165,23,251,251,English (American),WS,Second,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129268,165,29,569,569,English (American),WS,Second,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129269,165,24,514,514,English (American),WS,First,Other,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129270,165,25,672,672,English (American),WS,Third,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129271,165,17,60,60,English (American),WS,Third,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129272,165,24,292,292,English (American),WS,Third,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129273,165,25,234,234,English (American),WS,Second,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129274,165,24,181,181,English (American),WS,Fourth,Other,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129275,165,25,65,65,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129276,165,16,57,57,English (American),WS,Fifth,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129277,165,19,22,22,English (American),WS,Second,Asian,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129278,165,18,4,4,English (American),WS,Eighth,Black,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129279,165,17,8,8,English (American),WS,Third,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129280,165,18,47,47,English (American),WS,Third,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129281,165,19,27,27,English (American),WS,Fourth,Black,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129282,165,23,397,397,English (American),WS,Fourth,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129283,165,16,25,25,English (American),WS,Second,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129284,165,23,117,117,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129285,165,20,97,97,English (American),WS,Second,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129286,165,28,215,215,English (American),WS,Second,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129287,165,22,323,323,English (American),WS,Sixth,Black,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129288,165,30,316,316,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129289,165,25,141,141,English (American),WS,Second,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129290,165,23,237,237,English (American),WS,Fourth,Other,Male,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129291,165,21,206,206,English (American),WS,Third,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129292,165,23,91,91,English (American),WS,Fourth,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129293,165,24,266,266,English (American),WS,Third,Hispanic,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129294,165,23,66,66,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129295,165,19,72,72,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129296,165,27,183,183,English (American),WS,Second,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129297,165,28,212,212,English (American),WS,Second,Hispanic,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129298,165,28,226,226,English (American),WS,Second,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129299,165,27,289,289,English (American),WS,Second,Black,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129300,165,17,39,39,English (American),WS,Fifth,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129301,165,27,65,65,English (American),WS,Fourth,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129302,165,28,301,301,English (American),WS,Fourth,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129303,165,18,45,45,English (American),WS,Second,Hispanic,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129304,165,30,530,530,English (American),WS,Third,Black,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129305,165,29,603,603,English (American),WS,Second,Black,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129306,165,29,201,201,English (American),WS,Third,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129307,165,23,25,25,English (American),WS,Third,Other,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129308,165,18,11,11,English (American),WS,Second,Hispanic,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129309,165,24,219,219,English (American),WS,Seventh,Other,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129310,165,29,338,338,English (American),WS,Third,Hispanic,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129311,165,25,220,220,English (American),WS,Second,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129312,165,30,643,643,English (American),WS,Third,Black,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129313,165,25,229,229,English (American),WS,Second,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129314,165,21,264,264,English (American),WS,Second,Black,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129315,165,24,165,165,English (American),WS,Second,Other,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129316,165,28,320,320,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129317,165,26,532,532,English (American),WS,Fourth,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129318,165,29,44,44,English (American),WS,Third,White,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129319,165,21,13,13,English (American),WS,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129320,165,23,535,535,English (American),WS,Second,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129321,165,27,132,132,English (American),WS,Third,Black,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129322,165,25,671,671,English (American),WS,Second,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129323,165,20,20,20,English (American),WS,Second,Asian,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129324,165,28,193,193,English (American),WS,Third,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129325,165,22,362,362,English (American),WS,Third,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129326,165,29,462,462,English (American),WS,Second,Other,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129327,165,28,414,414,English (American),WS,Second,Black,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129328,165,21,149,149,English (American),WS,Third,Other,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129329,165,27,224,224,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129330,165,25,296,296,English (American),WS,Second,Black,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129331,165,17,319,319,English (American),WS,Second,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129332,165,25,407,407,English (American),WS,Second,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129333,165,30,514,514,English (American),WS,Second,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129334,165,26,270,270,English (American),WS,Fourth,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129335,165,25,395,395,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129336,165,24,517,517,English (American),WS,Second,Black,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129337,165,18,293,293,English (American),WS,Second,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129338,165,18,1,1,English (American),WS,Fifth,Hispanic,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129339,165,21,183,183,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129340,165,22,31,31,English (American),WS,Third,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129341,165,27,150,150,English (American),WS,Second,Hispanic,Female,NA,TRUE,Primary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129342,165,21,139,139,English (American),WS,Second,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129343,165,20,118,118,English (American),WS,Third,Other,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129344,165,24,371,371,English (American),WS,Second,Other,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129345,165,29,611,611,English (American),WS,Fourth,Hispanic,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129346,165,25,144,144,English (American),WS,Second,Other,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129347,165,19,225,225,English (American),WS,Fourth,Black,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129348,165,27,144,144,English (American),WS,Second,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129349,165,24,177,177,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129350,165,27,228,228,English (American),WS,Fifth,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129351,165,29,286,286,English (American),WS,Second,Black,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129352,165,20,141,141,English (American),WS,Fourth,Other,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129353,165,27,124,124,English (American),WS,Third,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129354,165,22,272,272,English (American),WS,Third,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129355,165,17,67,67,English (American),WS,Third,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129356,165,27,555,555,English (American),WS,Second,White,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129357,165,19,32,32,English (American),WS,Second,White,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129358,165,28,189,189,English (American),WS,Second,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129359,165,25,321,321,English (American),WS,Fifth,Black,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129360,165,23,233,233,English (American),WS,Fourth,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129361,165,22,21,21,English (American),WS,Third,White,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129362,165,29,186,186,English (American),WS,Second,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129363,165,20,173,173,English (American),WS,Second,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129364,165,22,121,121,English (American),WS,Third,Hispanic,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129365,165,20,62,62,English (American),WS,Third,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129366,165,27,457,457,English (American),WS,Fourth,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129367,165,21,18,18,English (American),WS,Third,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129368,165,28,361,361,English (American),WS,Third,Other,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129369,165,21,3,3,English (American),WS,Third,Other,Female,NA,TRUE,Primary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129370,165,23,175,175,English (American),WS,Third,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129371,165,20,59,59,English (American),WS,Fourth,Hispanic,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129372,165,29,182,182,English (American),WS,Fifth,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129373,165,26,458,458,English (American),WS,Second,Hispanic,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129374,165,17,11,11,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129375,165,25,87,87,English (American),WS,Second,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129376,165,17,55,55,English (American),WS,Second,Black,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129377,165,16,72,72,English (American),WS,Third,Other,Female,NA,TRUE,College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129378,165,16,16,16,English (American),WS,Third,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129379,165,29,63,63,English (American),WS,Second,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129380,165,20,148,148,English (American),WS,Sixth,White,Female,NA,TRUE,Graduate,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129381,165,21,131,131,English (American),WS,Fourth,Hispanic,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129382,165,22,52,52,English (American),WS,Second,White,Female,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129383,165,28,370,370,English (American),WS,Fourth,Hispanic,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129384,165,17,226,226,English (American),WS,Fourth,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129385,165,26,456,456,English (American),WS,Third,Asian,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129386,165,17,22,22,English (American),WS,Fourth,Hispanic,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129387,165,16,36,36,English (American),WS,Third,Other,Male,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129388,165,19,92,92,English (American),WS,Third,Hispanic,Male,NA,TRUE,Primary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129389,165,21,32,32,English (American),WS,Second,Hispanic,Female,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129390,165,16,9,9,English (American),WS,Second,Black,Male,NA,TRUE,Some College,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,FALSE
129391,165,26,54,54,English (American),WS,Second,Other,Male,NA,TRUE,Some Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
129392,165,22,327,327,English (American),WS,Third,White,Female,NA,TRUE,Secondary,FALSE,Marchman (Norming),CC-BY,item_165,hat,word,clothing,nouns,nouns,hat,,TRUE
